work_id	title	author	rating	category	fandom	relationship	character	additional tags	language	published	status	status date	words	chapters	comments	kudos	bookmarks	hits
24592048	Back to Black	['RedSarling']	Teen And Up Audiences	F/M	名探偵コナン | Detective Conan | Case Closed	Akai Shuuichi | Okiya Subaru/Haibara Ai | Miyano Shiho, Akai Shuuichi | Okiya Subaru & Haibara Ai | Miyano Shiho, Akai Shuuichi | Okiya Subaru/Miyano Akemi, Gin/Haibara Ai | Miyano Shiho, Gin/Vermouth (Meitantei Conan)	Akai Shuuichi | Okiya Subaru, Haibara Ai | Miyano Shiho, Gin (Meitantei Conan), Miyano Akemi, Vermouth (Meitantei Conan)	Organization days story, ginsherry - Freeform, ShuuShi, and Akemi?...	English	2020-06-07	Updated	2022-05-25	65700	20/?	16	58	6	1690
38278852	Now I've Got the Flow	['Serozin']	Explicit	F/F	RWBY, Fire Emblem Series, Fire Emblem: Kakusei | Fire Emblem: Awakening, Tengen Toppa Gurren Lagann, 名探偵コナン | Detective Conan | Case Closed, Xenoblade Chronicles 2 (Video Game), Pocket Monsters | Pokemon - All Media Types, Keroro Gunsou | Sgt. Frog	Gimurei | Grima/Lucina, Yoko Littner/Nia Teppelin, Blake Belladonna/Kali Belladonna, Mouri Ran/Suzuki Sonoko, Hikari | Mythra/Homura | Pyra/Nia, Dark Momoka/Nishizawa Momoka, Homika | Roxie/Mei | Rosa		Girl Penis, Blow Jobs, Mind Break, Incest, Mother-Daughter Relationship, Glory Hole, Hand Jobs, Rimming, Threesome - F/F/F, Public Sex, Come Swallowing, Facials, Selfcest, Face-Fucking, Aged-Up Character(s)	English	2022-04-10	Updated	2022-05-24	3487	2/?	2	7	3	1236
27799087	I Hear You [Heiji Hattori × OC]	['hyhasi']	Teen And Up Audiences	F/M	Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Hattori Heiji/Original Female Character(s), Kudou Shinichi | Edogawa Conan & Original Character(s), Kudou Shinichi | Edogawa Conan/Mouri Ran, Hattori Heiji/Reader	Hattori Heiji, Original Characters, Original Female Character(s), Kudou Shinichi | Edogawa Conan, Mouri Ran, Kudou Yukiko, Kudou Yuusaku, Hakuba Saguru, Kuroba Kaito | Kaitou Kid, Tooyama Kazuha, Suzuki Sonoko, Shounen Tantei-dan | Detective Boys, Nakamori Aoko	Fluff, Light Angst, Romance, Falling In Love, Mental Health Issues, Mental Breakdown, Non-Graphic Violence, Murder, Sarcasm, Unhealthy Coping Mechanisms, Enemies to Friends to Lovers, Emotional Hurt/Comfort, Everyone Needs A Hug, I Wrote This Instead of Sleeping, The Author Regrets Nothing, Mentions of Taylor Swift, Murder Mystery, Musicians, Classical Music, Slow Burn, Sibling Bonding, Author Is Sleep Deprived, I'm Sorry, I'm Bad At Tagging, Attempted Rape/Non-Con, Partners in Crime, Insecurity, Bad Jokes	English	2021-12-26	Updated	2022-05-24	11969	5/?	3	24	3	392
38365606	Meeting You a Second Time	['FantomWriter3120']	Mature	F/M, Gen, M/M, Multi, Other	Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Hakuba Saguru & Kuroba Kaito | Kaitou Kid, Hakuba Saguru/Kuroba Kaito | Kaitou Kid, Hakuba Saguru & Hattori Heiji & Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid, Hakuba Saguru & Kudou Shinichi | Edogawa Conan, Hakuba Saguru & Hattori Heiji	Hakuba Saguru, Kuroba Kaito | Kaitou Kid, Nakamori Aoko, Nakamori Ginzou, Baaya | Hakuba Saguru's Housekeeper, Kaito Kid Task Force (Meitantei Conan/Magic Kaito), Kudou Shinichi | Edogawa Conan, Hattori Heiji, Superintendent-General Hakuba (Meitantei Conan/Magic Kaito), Megure Juuzou, Mouri Ran, Koizumi Akako, Spider | Gunter von Goldberg II	Emotional Hurt/Comfort, Hurt/Comfort, Bonding, Team Bonding, Crime Fighting, Organized Crime, Mild Gore, Post-Traumatic Stress Disorder - PTSD, Post-Canon, Ten Years Later, Implied/Referenced Suicide, Implied/Referenced Character Death, Crime Scenes, Crime Scene Description, Murder, Murder Mystery, Heist, Protective Kuroba Kaito | Kaitou Kid, Hurt Kuroba Kaito | Kaitou Kid, Hurt Hakuba Saguru, Angst, Angst with a Happy Ending, hakuba needs a hug, Kaito needs a hug, Everyone Has Issues, Caffeine Addiction, Insomnia, Headaches & Migraines, Blood, Blood and Injury, Fluff and Hurt/Comfort, Nightmares	English	2022-04-14	Updated	2022-05-24	8422	3/?	11	39	5	306
22417732	Second Chance	['SailorStar9']	Teen And Up Audiences	F/M	Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Anime & Manga), 名探偵コナン | Detective Conan | Case Closed	Furuya Rei/Mizuno Ami	Amuro Tooru | Furuya Rei, Mizuno Ami, Original Male Character(s), Shounen Tantei-dan | Detective Boys	Anti-Crystal Tokyo, All The Inner Senshi are paired up, Single Mother!Ami, Police Officer!Ami, Sassy!Ami, Anti-Usagi, Sort Of, This authoress regrets nothing, Not Beta Read, Implied Sexual Content, Divorced Mamoru/Usagi, Minor Character Death, This IS Detective Conan afterall, Breaking the Fourth Wall	English	2020-01-26	Updated	2022-05-24	168648	114/?	5	24	3	1086
38738061	【AmuCo/FuruShin】Home	['quartz1203']	General Audiences	M/M	名探偵コナン | Detective Conan | Case Closed	Amuro Tooru | Furuya Rei & Kudou Shinichi | Edogawa Conan, Amuro Tooru | Furuya Rei/Kudou Shinichi | Edogawa Conan	Amuro Tooru | Furuya Rei, Kudou Shinichi | Edogawa Conan, Kazami Yuuya	translation work, please look at the summary	English	2022-05-02	Updated	2022-05-24	15487	3/20	9	38	11	535
38866962	Why?	['Xiema']	General Audiences	M/M	名探偵コナン | Detective Conan | Case Closed	Akai Shuuichi | Okiya Subaru/Gin	Akai Shuuichi | Okiya Subaru, Gin (Meitantei Conan), Kudou Shinichi | Edogawa Conan, Haibara Ai | Miyano Shiho	Enemies to Lovers, kid Gin, APTX 4869	English	2022-05-08	Updated	2022-05-24	9493	4/?	4	18	3	193
39189513	A Spoonful of Sunshine	['Alaena_F_Dragonstar']	Teen And Up Audiences	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid	Post-Conan Kudou Shinichi, Established Relationship, Romance, Humor, Fluff, Birthday Fluff, High Heels, Coffee	English	2022-05-24	Completed	2022-05-24	4454	1/1	1	60	8	316
36463648	Of Comets and Gems	['wisteria_1412']	General Audiences	Gen, M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan, Hattori Heiji, Mouri Ran	Magic Kaito Organization, mk org isn't so weak, Kuroba Kaito | Kaitou Kid Doesn't Know Edogawa Conan Is Kudou Shinichi, Some chapters betaed	English	2022-01-16	Updated	2022-05-24	5925	4/?	15	174	28	1691
36961921	Shounen Futa Q&A	['Imouto_Kitten']	Explicit	F/F, F/M, Multi, Other	Dragonball, Bleach, Naruto, One Piece, Soul Eater, Yu-Gi-Oh, Shaman King, Detective Conan, YuYu Hakusho			Futanari, Shotacon, Lolicon	English	2022-02-07	Updated	2022-05-24	8562	5/?	40	15	4	3731
